BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
1,315,PARK AV S,1,Small,Install,988232,209064
1,439,PARK AV S,1,Small,Install,988956,210460
1,443,PARK AV S,1,Small,Install,989022,210553
1,444,3 AV,1,Small,Install,989791,210229
1,432,3 AV,1,Small,Install,989763,210135
1,113,E 31 ST,,1,Large,Install,989276,210721
1,133,E 31 ST,,1,Small,Install,989449,210579
1,456,3 AV,,1,Large,Install,989761,210510
1,114,E 32 ST,,1,Small,Install,989341,210802
1,475,PARK AV S,,1,Small,Install,989216,210855
1,200,LEXINGTON AV,,2,Large,Install,989560,210917
1,200,LEXINGTON AV,,1,Small,Install,989560,210917
1,205,LEXINGTON AV,,1,Small,Install,989713,210761
1,164,E 33 ST,,1,Small,Install,990066,210722
1,484,3 AV,,1,Small,Install,990066,210722
1,215,LEXINGTON AV,,1,Small,Install,989761,210849
1,166,E 34 ST,,1,Large,Install,990158,210847
1,504,3 AV,,1,Small,Install,990158,210847
1,120,E 34 ST,,1,Large,Install,989701,211183
1,508,3 AV,,1,Small,Install,990201,211141
1,548,3 AV,,1,Large,Install,990544,211564
1,205,E 14 ST,,1,Small,Install,988010,206433
1,211,E 14 ST,,1,Large,Install,988086,206391
1,231,2 AV,,1,Small,Install,988380,206198
1,235,2 AV,,1,Large,Install,988406,206244
1,173,3 AV,3 AV,1,Circular,Install,988196,206983
1,337,2 AV,,1,Small,Install,989012,207373
1,373,2 AV,,1,Small,Install,989228,207850
1,391,2 AV,2 AV,1,Circular,Install,989406,208047
1,210,E 23 ST,,1,Large,Install,989071,208257
1,208,E 23 ST,,1,Small,Install,989033,208278
1,385,2 AV,,1,Large,Install,989260,208037
1,200,E 30 ST,,1,Small,Install,989860,209939
1,425,3 AV,,1,Small,Install,989860,209939
1,431,3 AV,,1,Large,Install,989926,210068
1,439,3 AV,,1,Large,Install,989926,210068
1,571,2 AV,2 AV,1,Circular,Install,990517,210065
1,515,3 AV,,1,Small,Install,990476,211059
1,537,3 AV,,1,Small,Install,990635,211322
1,719,2 AV,2 AV,1,Circular,Install,991436,211723
1,721,2 AV,2 AV,1,Circular,Install,991436,211723
1,397,1 AV,1 AV,1,Circular,Install,990063,207707
1,142,W 57 ST,,1,Small,Install,989985,217875
1,200,W 44 ST,,1,Large,Install,987931,215153
1,712,7 AV,,1,Small,Install,988506,216065
1,345,W 42 ST,,1,Large,Install,986609,215532
1,308,W 45 ST,,1,Small,Install,987238,215895
1,721,8 AV,8 AV,1,Small,Install,987418,215977
1,301,W 46 ST,,1,Small,Install,987568,216178
1,306,W 47 ST,,1,Small,Install,987525,216353
1,315,W 47 ST,,1,Large,Install,987542,216564
1,777,8 AV,,1,Small,Install,987683,216456
1,798,9 AV,W 53 ST,2,Small,Install,987757,218036
1,333,W 57 ST,,2,Large,Install,988598,218996
1,420,W 42 ST,,1,Large,Install,985934,215638
1,450,W 42 ST,,1,Large,Install,985658,215829
1,405,W 42 ST,,1,Large,Install,985970,215943
1,471,W 42 ST,,1,Large,Install,985970,215943
1,593,9 AV,,1,Large,Install,985970,215943
1,619,9 AV,,1,Large,Install,986434,216055
1,637,9 AV,,1,Small,Install,986567,216296
1,400,W 46 ST,,1,Large,Install,986712,216531
1,400,W 46 ST,,1,Small,Install,986712,216531
1,665,9 AV,,1,Small,Install,986764,216612
1,675,9 AV,,1,Small,Install,986789,216696
1,687,9 AV,,1,Small,Install,986894,216870
1,693,9 AV,,1,Small,Install,986931,216939
1,1843,BROADWAY,,1,Large,Install,989056,219557
1,33,CENTRAL PK W,CENTRAL PK W,1,Circular,Install,989738,220163
1,57,W 66 ST,,1,Large,Install,989644,221109
1,77,W 66 ST,,4,Large,Install,989644,221109
1,77,W 66 ST,,2,Small,Install,989644,221109
1,33,W 67 ST,,1,Small,Install,989812,221252
1,157,COLUMBUS AV,,1,Small,Install,989625,221356
1,157,AMSTERDAM AV,AMSTERDAM AV,1,,Install,988752,221694
1,260,COLUMBUS AV,W 72 ST,1,Small,Install,990107,222633
1,160,W 78 ST,,2,Large,Install,990337,224076
1,240,W 72 ST,,1,Small,Install,988824,223117
1,334,AMSTERDAM AV,,2,Large,Install,989733,223866
1,2175,BROADWAY,,1,Small,Install,989413,224348
1,380,AMSTERDAM AV,,1,Small,Install,990093,224515
1,127,W 79 ST,,1,Small,Install,990781,224417
1,588,COLUMBUS AV,,1,Large,Install,992187,226459
1,154,W 93 ST,,4,Large,Install,992276,227604
1,117,W 95 ST,,1,Small,Install,992918,228087
1,33,W 54 ST,,1,Large,Install,990570,216909
1,754,5 AV,,1,Large,Install,991435,217434
1,22,E 47 ST,,1,Small,Install,990431,214628
1,118,E 59 ST,,1,Small,Install,992827,217019
1,817,2 AV,2 AV,1,Circular,Install,992090,212890
1,821,2 AV,2 AV,1,Circular,Install,992108,212922
1,711,3 AV,,1,Small,Install,991772,213325
1,111,E 59 ST,,2,Large,Install,992855,217242
1,201,E 73 ST,,2,Large,Install,995404,219972
1,1105,1 AV,,2,Large,Install,994898,216423
1,317,E 67 ST,E 67 ST,1,Small,Install,995392,218222
1,1162,1 AV,1 AV,1,Circular,Install,995447,217041
1,505,E 75 ST,,2,Large,Install,997715,219393
1,1594,2 AV,,1,Large,Install,997249,221845
1,1614,2 AV,,1,Large,Install,997402,222094
1,355,E 89 ST,,2,Large,Install,998611,223139
1,45,W 116 ST,,1,Small,Install,998518,231468
1,57,W 116 ST,,3,Small,Install,998518,231468
